,K,avgs,feedback_packet_avgs
0,50,63.74,3.37
1,100,120.83,4.77
2,123,146.86,5.43
3,150,176.36,5.98
4,200,232.6,7.17
5,250,285.63,7.71
6,300,340.22,8.66
7,350,395.54,9.74
8,400,447.87,10.19
9,450,501.94,11.02
10,500,555.26,11.73
11,550,608.65,12.38
12,600,662.63,13.14
13,650,716.45,13.91
14,700,767.66,14.17
15,750,820.97,14.82
16,800,876.37,15.89
17,850,927.13,16.05
18,900,980.43,16.7
19,950,1032.3,17.05
20,1000,1085.11,17.65
