,K,avgs,feedback_packet_avgs
0,100,114.89,7.6
1,123,138.51,8.77
2,150,167.34,10.12
3,200,219.18,12.49
4,250,270.88,14.82
5,300,322.25,17.1
6,350,374.64,19.56
7,400,424.55,21.54
8,450,476.0,23.87
9,500,526.97,26.06
10,550,577.83,28.23
11,600,629.48,30.6
12,650,678.88,32.44
13,700,730.37,34.74
14,750,779.96,36.61
15,800,831.77,39.05
16,850,882.43,41.17
17,900,933.41,43.35
18,950,983.44,45.35
19,1000,1034.05,47.45
