,K,avgs,feedback_packet_avgs
0,100,114.34,7.5
1,123,137.96,8.6
2,150,166.33,9.91
3,200,218.22,12.28
4,250,270.06,14.67
5,300,320.7,16.82
6,350,372.49,19.14
7,400,422.86,21.19
8,450,473.76,23.32
9,500,525.72,25.8
10,550,576.17,27.9
11,600,626.4,29.89
12,650,678.42,32.36
13,700,727.78,34.21
14,750,779.08,36.46
15,800,828.94,38.45
16,850,879.98,40.64
17,900,930.59,42.81
18,950,980.39,44.72
19,1000,1031.37,46.91
