,K,avgs,feedback_packet_avgs
0,100,119.81,4.6
1,123,144.6,4.97
2,150,175.14,5.68
3,200,228.51,6.37
4,250,281.75,7.03
5,300,335.18,7.69
6,350,388.14,8.26
7,400,441.3,8.91
8,450,494.15,9.52
9,500,546.76,10.01
10,550,597.64,10.17
11,600,650.4,10.72
12,650,703.91,11.43
13,700,754.95,11.7
14,750,808.22,12.32
15,800,859.98,12.71
16,850,911.55,12.97
17,900,963.74,13.43
18,950,1015.54,13.75
19,1000,1067.05,14.03
