,K,avgs,feedback_packet_avgs
0,100,117.8,4.26
1,123,143.36,4.72
2,150,173.29,5.32
3,200,227.02,6.1
4,250,281.03,6.9
5,300,333.72,7.39
6,350,386.72,7.99
7,400,438.91,8.5
8,450,491.21,8.91
9,500,543.59,9.42
10,550,595.77,9.82
11,600,647.87,10.25
12,650,699.76,10.63
13,700,750.86,10.85
14,750,803.86,11.41
15,800,855.81,11.84
16,850,906.76,12.01
17,900,960.52,12.73
18,950,1010.37,12.68
19,1000,1062.9,13.25
