,K,avgs,feedback_packet_avgs
0,66,86.33,2.71
1,100,124.23,3.14
2,150,179.74,3.65
3,200,235.0,4.19
4,250,288.6,4.51
5,300,342.66,4.93
6,350,396.01,5.29
7,400,449.91,5.63
8,450,503.58,6.02
9,500,555.11,6.18
10,550,607.8,6.45
11,600,660.75,6.76
12,650,712.88,6.95
13,700,765.12,7.18
14,750,816.73,7.35
15,800,869.84,7.63
16,850,922.4,7.89
17,900,973.31,8.02
18,950,1026.89,8.32
19,1000,1078.28,8.48
