,K,avgs,feedback_packet_avgs
0,66,85.25,2.58
1,100,123.86,3.08
2,150,179.85,3.67
3,200,234.35,4.11
4,250,287.01,4.36
5,300,340.84,4.77
6,350,392.08,4.89
7,400,447.03,5.36
8,450,499.91,5.68
9,500,552.35,5.91
10,550,604.93,6.2
11,600,655.86,6.22
12,650,708.92,6.58
13,700,760.23,6.63
14,750,814.32,7.06
15,800,863.36,7.02
16,850,916.65,7.33
17,900,968.34,7.52
18,950,1020.77,7.74
19,1000,1073.47,8.01
