,K,avgs,feedback_packet_avgs
0,100,128.77,3.06
1,150,183.95,3.9
2,200,239.48,4.62
3,250,292.16,5.29
4,300,344.92,5.99
5,350,398.72,6.61
6,400,450.0,7.14
7,450,502.42,7.79
8,500,555.26,8.39
9,550,605.49,9.04
10,600,657.83,9.6
11,650,709.22,10.18
12,700,760.56,10.72
13,750,810.58,11.2
14,800,864.21,11.9
15,850,914.3,12.38
16,900,965.71,12.98
17,950,1016.43,13.5
18,1000,1067.98,14.08
