,K,avgs,feedback_packet_avgs
0,50,66.74,2.31
1,100,124.36,3.04
2,150,180.15,3.64
3,200,237.73,4.39
4,250,290.15,4.65
5,300,345.39,5.16
6,350,399.75,5.59
7,400,453.91,5.98
8,450,506.79,6.31
9,500,560.25,6.6
10,550,614.48,7.06
11,600,666.22,7.19
12,650,721.17,7.7
13,700,773.86,8.03
14,750,826.66,8.28
15,800,878.96,8.5
16,850,933.12,8.87
17,900,985.04,9.11
18,950,1037.75,9.42
19,1000,1090.76,9.67
