,K,avgs
0,50,80.97
1,100,150.95
2,150,216.35
3,200,279.03
4,250,343.56
5,300,404.23
6,350,469.37
7,400,532.98
8,450,594.92
9,500,644.87
10,550,712.18
11,600,771.01
12,650,833.29
13,700,889.99
14,750,960.58
15,800,1007.79
16,850,1067.18
17,900,1138.69
18,950,1186.1
19,1000,1256.67
