,K,avgs,feedback_packet_avgs
0,50,73.21,3.65
1,100,139.05,3.79
2,123,165.03,4.18
3,150,200.64,3.86
4,200,266.61,3.6
5,250,319.77,3.89
6,300,375.7,4.62
7,350,437.65,4.17
8,400,498.05,4.38
9,450,555.24,4.3
10,500,607.12,5.14
11,550,666.9,4.82
12,600,715.32,5.37
13,650,778.47,6.23
14,700,830.46,6.62
15,750,893.48,5.17
16,800,938.6,6.49
17,850,999.81,7.25
18,900,1058.23,7.47
19,950,1108.92,6.65
20,1000,1158.91,8.05
