,K,avgs,feedback_packet_avgs
0,100,126.18,2.96
1,150,181.48,3.81
2,200,236.38,4.49
3,250,289.87,5.17
4,300,343.31,5.88
5,350,395.54,6.49
6,400,447.02,7.07
7,450,499.45,7.65
8,500,551.43,8.32
9,550,602.75,8.87
10,600,652.89,9.31
11,650,705.74,10.02
12,700,756.09,10.51
13,750,807.9,11.08
14,800,859.43,11.67
15,850,911.18,12.2
16,900,961.79,12.73
17,950,1013.13,13.29
18,1000,1062.31,13.8
