,w1_pro,times,w1_drops_used,w2_drops_used
0,0.6,0,121,185
1,0.6,1,132,199
2,0.6,2,135,180
3,0.6,3,146,222
4,0.6,4,123,200
5,0.6,5,119,185
6,0.6,6,147,180
7,0.6,7,143,205
8,0.6,8,122,201
9,0.6,9,118,188
10,0.6,10,123,216
11,0.6,11,114,193
12,0.6,12,141,213
13,0.6,13,124,202
14,0.6,14,148,176
15,0.6,15,112,203
16,0.6,16,124,206
17,0.6,17,142,194
18,0.6,18,136,202
19,0.6,19,124,196
20,0.6,20,124,178
21,0.6,21,135,210
22,0.6,22,146,187
23,0.6,23,141,204
24,0.6,24,141,206
25,0.6,25,134,224
26,0.6,26,141,217
27,0.6,27,132,214
28,0.6,28,154,192
29,0.6,29,172,208
30,0.6,30,153,206
31,0.6,31,123,210
32,0.6,32,135,222
33,0.6,33,112,229
34,0.6,34,122,183
35,0.6,35,160,204
36,0.6,36,119,204
37,0.6,37,116,178
38,0.6,38,116,182
39,0.6,39,118,178
40,0.6,40,122,201
41,0.6,41,158,223
42,0.6,42,146,178
43,0.6,43,130,201
44,0.6,44,143,210
45,0.6,45,127,193
46,0.6,46,124,234
47,0.6,47,113,207
48,0.6,48,123,209
49,0.6,49,136,194
50,0.6,50,129,201
51,0.6,51,127,190
52,0.6,52,138,190
53,0.6,53,112,204
54,0.6,54,123,205
55,0.6,55,143,218
56,0.6,56,141,187
57,0.6,57,128,156
58,0.6,58,133,202
59,0.6,59,130,206
60,0.6,60,122,176
61,0.6,61,141,178
62,0.6,62,133,206
63,0.6,63,113,174
64,0.6,64,142,212
65,0.6,65,132,191
66,0.6,66,147,197
67,0.6,67,127,194
68,0.6,68,112,195
69,0.6,69,146,185
70,0.6,70,127,208
71,0.6,71,121,160
72,0.6,72,143,213
73,0.6,73,148,197
74,0.6,74,120,187
75,0.6,75,143,208
76,0.6,76,144,202
77,0.6,77,114,193
78,0.6,78,141,192
79,0.6,79,137,212
80,0.6,80,123,188
81,0.6,81,117,213
82,0.6,82,141,219
83,0.6,83,124,171
84,0.6,84,133,200
85,0.6,85,130,196
86,0.6,86,122,177
87,0.6,87,118,171
88,0.6,88,144,187
89,0.6,89,141,187
90,0.6,90,145,198
91,0.6,91,112,183
92,0.6,92,137,197
93,0.6,93,131,227
94,0.6,94,134,191
95,0.6,95,127,187
96,0.6,96,111,210
97,0.6,97,117,182
98,0.6,98,117,179
99,0.6,99,112,201
