,w1_pro,w1_avgs,w2_avgs
0,0.0,159.47,159.72
1,0.1,159.93,160.71
2,0.2,155.2,161.88
3,0.3,155.76,166.53
4,0.4,149.75,177.0
5,0.5,140.53,186.19
6,0.6,131.03,197.35
7,0.7,122.93,208.39
8,0.8,118.29,222.55
9,0.9,110.46,236.34
