,K,avgs
0,100,290.2
1,150,444.14
2,200,610.79
3,250,754.24
4,300,902.75
5,350,1072.26
6,400,1271.27
7,450,1481.59
8,500,1620.07
9,550,1852.96
10,600,1998.84
11,650,2208.94
12,700,2457.87
13,750,2635.9
14,800,2882.23
15,850,2954.8
16,900,3238.27
17,950,3453.98
18,1000,3673.92
