,num_chunks,times,w1_drop_num,w2_drop_num,feedback_num
0,550,0,527,719,15
1,550,1,523,708,14
2,550,2,525,714,15
3,550,3,494,687,14
4,550,4,505,714,15
5,550,5,526,697,14
6,550,6,541,702,14
7,550,7,534,716,15
8,550,8,558,721,15
9,550,9,513,695,14
10,550,10,538,686,14
11,550,11,511,710,14
12,550,12,517,715,15
13,550,13,520,714,15
14,550,14,553,726,15
15,550,15,534,690,14
16,550,16,564,720,15
17,550,17,522,692,14
18,550,18,523,711,14
19,550,19,564,714,15
20,550,20,562,733,15
21,550,21,546,706,14
22,550,22,532,720,15
23,550,23,535,733,15
24,550,24,520,722,15
25,550,25,524,717,15
26,550,26,564,716,15
27,550,27,541,716,15
28,550,28,534,721,15
29,550,29,547,706,14
30,550,30,545,700,14
31,550,31,565,694,14
32,550,32,527,714,15
33,550,33,559,728,15
34,550,34,563,710,14
35,550,35,593,721,15
36,550,36,512,714,15
37,550,37,538,708,14
38,550,38,558,689,14
39,550,39,518,720,15
40,550,40,503,688,14
41,550,41,521,693,14
42,550,42,521,715,15
43,550,43,536,705,14
44,550,44,516,723,15
45,550,45,487,695,14
46,550,46,543,723,15
47,550,47,509,714,15
48,550,48,545,726,15
49,550,49,548,705,14
50,550,50,543,684,14
51,550,51,537,712,14
52,550,52,534,690,14
53,550,53,526,725,15
54,550,54,534,716,15
55,550,55,538,714,15
56,550,56,540,718,15
57,550,57,529,721,15
58,550,58,522,744,16
59,550,59,515,688,14
60,550,60,506,688,14
61,550,61,534,724,15
62,550,62,511,683,14
63,550,63,548,702,14
64,550,64,535,721,15
65,550,65,535,721,15
66,550,66,475,695,14
67,550,67,517,696,14
68,550,68,530,714,15
69,550,69,566,692,14
70,550,70,523,718,15
71,550,71,546,699,14
72,550,72,543,711,14
73,550,73,499,699,14
74,550,74,506,693,14
75,550,75,499,712,14
76,550,76,539,716,15
77,550,77,523,721,15
78,550,78,538,717,15
79,550,79,534,723,15
80,550,80,528,711,14
81,550,81,514,686,14
82,550,82,536,699,14
83,550,83,523,749,16
84,550,84,504,703,14
85,550,85,522,696,14
86,550,86,518,722,15
87,550,87,525,690,14
88,550,88,510,681,13
89,550,89,572,719,15
90,550,90,514,714,15
91,550,91,542,693,14
92,550,92,530,694,14
93,550,93,520,733,15
94,550,94,533,688,14
95,550,95,564,717,15
96,550,96,516,690,14
97,550,97,536,718,15
98,550,98,523,726,15
99,550,99,498,715,15
100,550,100,541,722,15
101,550,101,526,705,14
102,550,102,554,721,15
103,550,103,537,703,14
104,550,104,516,714,15
105,550,105,508,707,14
106,550,106,523,723,15
107,550,107,564,723,15
108,550,108,564,716,15
109,550,109,570,733,15
110,550,110,515,685,14
111,550,111,515,709,14
112,550,112,511,694,14
113,550,113,553,694,14
114,550,114,519,689,14
115,550,115,487,714,15
116,550,116,552,745,16
117,550,117,564,746,16
118,550,118,486,717,15
119,550,119,535,708,14
120,550,120,536,713,15
121,550,121,528,703,14
122,550,122,549,744,16
123,550,123,501,718,15
124,550,124,531,725,15
125,550,125,541,714,15
126,550,126,510,693,14
127,550,127,509,697,14
128,550,128,544,690,14
129,550,129,530,708,14
130,550,130,527,720,15
131,550,131,548,693,14
132,550,132,548,711,14
133,550,133,522,694,14
134,550,134,507,685,14
135,550,135,521,715,15
136,550,136,540,714,15
137,550,137,530,694,14
138,550,138,532,714,15
139,550,139,501,710,14
140,550,140,516,717,15
141,550,141,502,702,14
142,550,142,524,717,15
143,550,143,528,714,15
144,550,144,509,708,14
145,550,145,536,710,14
146,550,146,515,690,14
147,550,147,531,708,14
148,550,148,540,706,14
149,550,149,503,699,14
150,550,150,523,715,15
151,550,151,514,728,15
152,550,152,537,712,14
153,550,153,514,688,14
154,550,154,496,712,14
155,550,155,509,714,15
156,550,156,564,714,15
157,550,157,524,711,14
158,550,158,527,714,15
159,550,159,534,692,14
160,550,160,533,690,14
161,550,161,497,717,15
162,550,162,559,727,15
163,550,163,538,714,15
164,550,164,514,717,15
165,550,165,541,733,15
166,550,166,522,716,15
167,550,167,534,709,14
168,550,168,550,750,16
169,550,169,506,695,14
170,550,170,522,687,14
171,550,171,523,696,14
172,550,172,569,690,14
173,550,173,545,726,15
174,550,174,488,702,14
175,550,175,493,723,15
176,550,176,512,711,14
177,550,177,529,721,15
178,550,178,525,714,15
179,550,179,513,691,14
180,550,180,511,690,14
181,550,181,524,686,14
182,550,182,517,719,15
183,550,183,526,691,14
184,550,184,505,682,13
185,550,185,582,722,15
186,550,186,535,702,14
187,550,187,531,695,14
188,550,188,535,693,14
189,550,189,539,714,15
190,550,190,565,723,15
191,550,191,535,703,14
192,550,192,534,717,15
193,550,193,515,719,15
194,550,194,514,692,14
195,550,195,513,716,15
196,550,196,486,714,15
197,550,197,550,716,15
198,550,198,537,700,14
199,550,199,534,716,15
