,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,66.195,107.53,2.815
1,100,121.38,181.575,4.405
2,150,170.705,248.775,5.83
3,200,219.055,309.975,7.025
4,250,264.36,371.565,8.255
5,300,311.495,428.56,9.29
6,350,355.015,486.31,10.385
7,400,399.89,544.155,11.54
8,450,446.22,601.41,12.6
9,500,487.61,655.06,13.51
10,550,528.995,709.3,14.525
11,600,574.06,762.905,15.45
12,650,616.895,817.36,16.42
13,700,659.22,872.3,17.47
14,750,701.355,925.41,18.425
15,800,742.945,977.36,19.275
16,850,785.72,1030.585,20.205
17,900,829.31,1084.125,21.195
18,950,872.51,1137.36,22.125
19,1000,914.615,1189.29,23.025
