,K,avg_send_drops,avg_recv_drops
0,50,103.49,95.39
1,100,221.52,203.84
2,150,368.6,339.19
3,200,517.46,476.06
4,250,649.91,597.91
5,300,808.87,743.99
6,350,950.16,874.25
7,400,1136.88,1045.76
8,450,1290.94,1187.91
9,500,1432.24,1317.86
10,550,1605.29,1476.98
11,600,1823.03,1677.3
12,650,1964.07,1806.92
13,700,2122.04,1952.31
14,750,2330.91,2144.31
15,800,2456.69,2259.46
16,850,2630.64,2420.02
17,900,2812.37,2587.77
18,950,2920.64,2687.1
19,1000,3148.77,2896.74
