,w1_pro,times,w1_drops_used,w2_drops_used
0,0.8,0,119,224
1,0.8,1,116,234
2,0.8,2,126,218
3,0.8,3,112,211
4,0.8,4,134,238
5,0.8,5,111,239
6,0.8,6,123,219
7,0.8,7,107,208
8,0.8,8,126,210
9,0.8,9,125,213
10,0.8,10,121,213
11,0.8,11,119,224
12,0.8,12,134,225
13,0.8,13,122,197
14,0.8,14,116,238
15,0.8,15,125,212
16,0.8,16,103,209
17,0.8,17,118,238
18,0.8,18,101,244
19,0.8,19,129,216
20,0.8,20,105,211
21,0.8,21,102,212
22,0.8,22,124,217
23,0.8,23,137,218
24,0.8,24,122,216
25,0.8,25,120,238
26,0.8,26,106,210
27,0.8,27,130,238
28,0.8,28,114,238
29,0.8,29,124,213
30,0.8,30,122,192
31,0.8,31,104,209
32,0.8,32,99,233
33,0.8,33,109,195
34,0.8,34,120,225
35,0.8,35,123,225
36,0.8,36,103,216
37,0.8,37,107,213
38,0.8,38,118,207
39,0.8,39,121,238
40,0.8,40,118,211
41,0.8,41,136,227
42,0.8,42,124,207
43,0.8,43,118,213
44,0.8,44,99,183
45,0.8,45,105,208
46,0.8,46,119,217
47,0.8,47,122,214
48,0.8,48,120,202
49,0.8,49,130,246
50,0.8,50,144,218
51,0.8,51,117,238
52,0.8,52,116,207
53,0.8,53,115,199
54,0.8,54,110,211
55,0.8,55,109,248
56,0.8,56,120,218
57,0.8,57,122,208
58,0.8,58,100,213
59,0.8,59,123,247
60,0.8,60,100,215
61,0.8,61,109,234
62,0.8,62,118,214
63,0.8,63,105,186
64,0.8,64,124,196
65,0.8,65,107,215
66,0.8,66,131,202
67,0.8,67,122,213
68,0.8,68,123,210
69,0.8,69,117,223
70,0.8,70,134,218
71,0.8,71,121,213
72,0.8,72,123,207
73,0.8,73,120,234
74,0.8,74,120,225
75,0.8,75,105,225
76,0.8,76,125,215
77,0.8,77,138,227
78,0.8,78,113,214
79,0.8,79,142,242
80,0.8,80,125,227
81,0.8,81,103,209
82,0.8,82,110,224
83,0.8,83,126,204
84,0.8,84,108,225
85,0.8,85,122,239
86,0.8,86,117,225
87,0.8,87,114,204
88,0.8,88,121,243
89,0.8,89,104,218
90,0.8,90,127,230
91,0.8,91,135,226
92,0.8,92,107,210
93,0.8,93,102,237
94,0.8,94,129,240
95,0.8,95,120,202
96,0.8,96,130,207
97,0.8,97,122,196
98,0.8,98,118,232
99,0.8,99,107,232
