,w1_pro,w1_avgs,w2_avgs
0,0.0,164.58,164.91
1,0.1,161.61,164.61
2,0.2,160.74,169.48
3,0.3,158.43,174.12
4,0.4,150.64,182.43
5,0.5,144.08,189.26
6,0.6,133.08,199.21
7,0.7,125.14,207.87
8,0.8,118.08,218.87
9,0.9,108.44,230.52
