,K,avgs,feedback_packet_avgs
0,50,70.39,1.67
1,100,130.58,2.15
2,150,185.38,2.36
3,200,242.13,2.75
4,250,297.58,3.02
5,300,353.74,3.34
6,350,405.56,3.41
7,400,461.8,3.71
8,450,514.7,3.83
9,500,569.17,4.07
10,550,622.71,4.2
11,600,676.21,4.42
12,650,729.09,4.56
13,700,781.6,4.64
14,750,835.66,4.9
15,800,887.99,4.98
16,850,940.9,5.16
17,900,995.02,5.36
18,950,1047.18,5.43
19,1000,1102.23,5.74
