,K,avgs
0,50,127.12
1,100,246.765
2,150,372.22
3,200,492.59
4,250,615.03
5,300,721.02
6,350,848.42
7,400,967.165
8,450,1074.445
9,500,1187.02
10,550,1321.855
11,600,1423.45
12,650,1560.66
13,700,1670.515
14,750,1791.67
15,800,1892.995
16,850,2017.565
17,900,2147.595
18,950,2255.34
19,1000,2378.76
